ticketId,Date (Ticket Created),Date (Ticket Last Updated),Date (Ticket Solved),Type,Category,Sub Category,Ticket Group,Ticket Status,corpId,Ticket Requester Domain,Z Channel,# SLA tickets,# SLAs Achieved,# SLAs Breached (Total),% Achieved,% Breached
540597,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,zeta.in,App,1,0,1,0,1
540598,7/9/18,7/16/18,7/9/18,Complaint,Fraud Chargeback Related,Transaction reported as fraud,L2 - Escalations,Closed,-,rblbank.com,Email,1,1,0,1,0
540600,7/9/18,7/16/18,7/9/18,Query,App Related,How to use Meal card,L1 - Support,Closed,6993,httpool.in,Chat,1,1,0,1,0
540602,7/9/18,7/19/18,7/12/18,Other,Unknown Category,Unknown,L1 - Support,Closed,-,fmr.com,Email,1,0,2,0,1
540603,7/9/18,7/16/18,7/9/18,Other,DNC,Blank chat,L1 - Support,Closed,5254,accenture.com,Chat,1,1,0,1,0
540605,7/9/18,7/20/18,7/13/18,Query,Corporate Benefit Related,Corporate policies & limits,L1 - Support,Closed,5254,accenture.com,App,1,0,2,0,1
540606,7/9/18,7/13/18,7/13/18,Request,Account Related,Block account,L1 - Support,Closed,10798,zeta.in,App,1,0,1,0,1
540607,7/9/18,7/23/18,7/16/18,Complaint,Corporate Benefit Related,Meal voucher not received - Routed to HR,L1 - Support,Closed,3551,flo-group.com,Chat,1,4,1,0.8,0.2
540608,7/9/18,7/13/18,7/13/18,Other,Feedback Related,Services,L1 - Support,Closed,5254,accenture.com,App,1,0,1,0,1
540609,7/9/18,7/13/18,7/13/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,4707,gmail.com,Email,1,0,1,0,1
540610,7/9/18,7/16/18,7/11/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,4775,aspect.com,Email,1,0,4,0,1
540611,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,3366,gmail.com,App,1,0,2,0,1
